BJD,Flux,Flux_unc
1712.179347667586,152421.53,44.695976
1712.1807365565696,152449.72,44.701244
1712.1821254453198,152538.14,44.691975
1712.1835143343021,152517.64,44.714893
1712.1849032232847,152451.7,44.713913
1712.1862921120348,152541.0,44.707478
1712.1876810010178,152510.11,44.728374
1712.1890698900002,152445.33,44.708344
1712.1904587787506,152555.38,44.730587
1712.1918476677342,152411.45,44.70577
1712.1932365567172,152379.08,44.685543
1712.1946254454667,152438.2,44.697456
1712.1960143344493,152482.75,44.721817
1712.1974032231994,152608.75,44.73282
1712.1987921121824,152544.27,44.727417
1712.200181000932,152506.23,44.725025
1712.2015698899143,152443.4,44.692165
1712.2029587788982,152513.92,44.713795
1712.204347667649,152541.06,44.70465
1712.2057365566313,152471.47,44.71365
1712.2071254453808,152441.31,44.685112
1712.208514334364,152567.84,44.69237
1712.2099032231142,152702.69,44.70326
1712.2112921120965,152394.7,44.67403
1712.212681000846,152453.52,44.712296
1712.2140698895962,152550.7,44.72985
1712.2154587785801,152491.61,44.707882
1712.2168476673303,152550.7,44.74048
1712.2182365563126,152490.45,44.712887
1712.2196254450628,152509.92,44.708893
1712.221014334046,152490.52,44.702072
1712.2224032227955,152547.28,44.7084
1712.223792111545,152484.33,44.742306
1712.225181000528,152577.72,44.726353
1712.227958778262,152489.7,44.700027
1712.2293476670116,152564.97,44.722134
1712.2307365557617,152621.08,44.726624
1712.232125444745,152563.84,44.730434
1712.2335143334944,152488.36,44.72439
1712.234903222244,152521.88,44.72143
1712.236292111227,152570.4,44.74447
1712.237680999977,152580.06,44.735634
1712.2390698887273,152566.12,44.73285
1712.2404587774777,152377.02,44.685867
1712.2418476664607,152427.67,44.68935
1712.2432365552108,152411.28,44.699467
1712.2446254439603,152573.73,44.726337
1712.24601433271,152557.23,44.728058
1712.247403221693,152535.06,44.73404
1712.2487921104432,152384.8,44.72231
1712.2501809991927,152459.83,44.72445
1712.251569887943,152481.83,44.716137
1712.2529587769268,152543.83,44.71767
1712.254347665677,152400.53,44.701794
1712.2557365544264,152366.06,44.702553
1712.2571254431762,152403.38,44.711678
1712.2585143319263,152363.9,44.704033
1712.2599032206765,152380.67,44.708042
1712.2612921096588,152332.67,44.683556
1712.2626809984083,152361.75,44.691566
